partner,source_sheet,section,entity,metric,student_group,school_year,value,notes
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2018-19,0.331,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2020-21,0.41,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2021-22,0.412,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2022-23,0.375,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2023-24,0.371,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2024-25,0.36,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2016-17,0.144,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2017-18,0.155,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2018-19,0.177,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2020-21,0.31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2021-22,0.251,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2022-23,0.226,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2023-24,0.197,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2024-25,0.206,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2016-17,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2017-18,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2018-19,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2020-21,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2021-22,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2022-23,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2023-24,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2024-25,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2016-17,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2017-18,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2018-19,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2020-21,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2021-22,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2022-23,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2023-24,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Reading Test Participation,Reading Grades 3-8,2024-25,>95%,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2016-17,758,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2017-18,781,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2018-19,757,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2019-20,744,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2020-21,706,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2021-22,677,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2022-23,657,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2023-24,674,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2024-25,665,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2016-17,459,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2017-18,439,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2018-19,468,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2019-20,473,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2020-21,432,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2021-22,421,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2022-23,406,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2023-24,406,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2024-25,406,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2016-17,490,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2017-18,483,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2018-19,477,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2019-20,470,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2020-21,433,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2021-22,439,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2022-23,445,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2023-24,446,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2024-25,452,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2016-17,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2017-18,31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2018-19,31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2019-20,32,
